id,date,dep_airport,des_airport,airline_id,total
1128,2013-06-01,JFK,PSA,DL,101
1129,2013-12-01,EWR,LIM,UA,1340
1130,2013-10-01,JFK,SNN,EI,1749
1131,2013-10-01,JFK,LOS,W3,318
1132,2013-08-01,JFK,GND,DL,305
1133,2013-01-01,JFK,DKR,SA,316
1134,2013-02-01,EWR,LIS,TP,1235
1135,2013-01-01,JFK,LHR,KU,20374
1136,2013-05-01,JFK,KWI,KU,312
1137,2013-03-01,JFK,KWI,KU,312
1138,2013-04-01,EWR,GCM,UA,788
1139,2013-11-01,JFK,MAD,UX,3671
1140,2013-09-01,EWR,PUJ,UA,3067
1141,2013-08-01,JFK,LHR,KU,20374
1142,2013-03-01,JFK,GEO,BW,538
1143,2013-08-01,EWR,OPO,TP,230
1144,2013-07-01,JFK,ARN,DY,1536
1145,2013-10-01,JFK,LUX,CV,408
1146,2013-07-01,JFK,VKO,UN,194
1147,2013-06-01,LGA,YHZ,G7,3458
1148,2013-02-01,JFK,GCM,KX,788
1149,2013-12-01,JFK,LCY,BA,468
1150,2013-01-01,JFK,AMM,RJ,467
1151,2013-06-01,JFK,ZRH,DL,3248
1152,2013-12-01,EWR,POS,UA,2322
1153,2013-06-01,JFK,LUX,CV,408
1154,2013-03-01,JFK,MDE,AV,485
1155,2013-08-01,LGA,YUL,AC,18521
1156,2013-02-01,JFK,LIM,LP,1340
1157,2013-01-01,JFK,GCM,KX,788
1158,2013-02-01,EWR,BFS,UA,555
1159,2013-02-01,EWR,MAD,UA,3671
1160,2013-03-01,JFK,AMM,RJ,467
1161,2013-02-01,JFK,MXP,AZ,2920
1162,2013-02-01,JFK,ANU,AA,897
1163,2013-02-01,EWR,PLS,UA,1179
1164,2013-02-01,JFK,VCE,DL,529
1165,2013-02-01,EWR,YYZ,QK,34610
1166,2013-10-01,JFK,KIN,OJ,2300
1167,2013-08-01,EWR,POP,UA,1262
1168,2013-05-01,JFK,LUX,CV,408
1169,2013-12-01,EWR,HAM,UA,580
1170,2013-11-01,EWR,SIN,SQ,562
1171,2013-03-01,EWR,MBJ,UA,3078
1172,2013-10-01,JFK,CDG,SE,7711
1173,2013-06-01,JFK,MAD,UX,3671
1174,2013-12-01,JFK,SXM,DL,1681
1175,2013-06-01,JFK,VKO,UN,194
1176,2013-12-01,EWR,LIR,UA,843
1177,2013-02-01,EWR,OSL,SK,1453
1178,2013-12-01,JFK,GCM,KX,788
1179,2013-09-01,JFK,GEO,BW,538
1180,2013-10-01,JFK,AMM,RJ,467
1181,2013-12-01,JFK,SNN,BA,1749
1182,2013-12-01,EWR,SJD,UA,403
1183,2013-05-01,EWR,YUL,S5,18521
1184,2013-11-01,JFK,ANU,AA,897
1185,2013-07-01,JFK,LUX,CV,408
1186,2013-02-01,JFK,PUJ,DL,3067
1187,2013-07-01,EWR,SJD,UA,403
1188,2013-12-01,JFK,NCE,DL,500
1189,2013-04-01,JFK,LUX,CV,408
1190,2013-04-01,JFK,AMM,RJ,467
1191,2013-12-01,EWR,KEF,FI,1446
1192,2013-06-01,JFK,KIN,OJ,2300
1193,2013-12-01,JFK,DUB,AA,3258
1194,2013-02-01,JFK,GEO,DL,538
1195,2013-11-01,EWR,SJD,UA,403
1196,2013-11-01,EWR,STR,UA,534
1197,2013-04-01,EWR,YYZ,QK,34610
1198,2013-07-01,EWR,SXM,UA,1681
1199,2013-10-01,EWR,PUJ,UA,3067
1200,2013-10-01,JFK,MDE,AV,485
1201,2013-09-01,JFK,YUL,9E,18521
1202,2013-01-01,EWR,STR,UA,534
1203,2013-08-01,JFK,DKR,DL,316
1204,2013-06-01,EWR,SXM,UA,1681
1205,2013-07-01,JFK,DKR,DL,316
1206,2013-04-01,JFK,GCM,KX,788
1207,2013-12-01,EWR,ARN,UA,1536
1208,2013-11-01,JFK,JED,SV,449
1209,2013-03-01,JFK,KIN,OJ,2300
1210,2013-12-01,JFK,EZE,AR,1295
1211,2013-02-01,JFK,LUX,CV,408
1212,2013-12-01,JFK,AMM,RJ,467
1213,2013-07-01,JFK,ANU,AA,897
1214,2013-11-01,JFK,TXL,AB,1097
1215,2013-06-01,JFK,GCM,KX,788
1216,2013-05-01,JFK,GEO,BW,538
1217,2013-01-01,EWR,OSL,SK,1453
1218,2013-04-01,JFK,DUS,AB,1465
1219,2013-08-01,JFK,JED,SV,449
1220,2013-04-01,EWR,PLS,UA,1179
1221,2013-01-01,EWR,BCN,UA,1904
1222,2013-06-01,JFK,ANU,AA,897
1223,2013-05-01,JFK,UVF,B6,635
1224,2013-03-01,JFK,MXP,AZ,2920
1225,2013-04-01,JFK,ANU,AA,897
1226,2013-01-01,JFK,LIM,LP,1340
1227,2013-12-01,EWR,OSL,SK,1453
1228,2013-04-01,JFK,KIN,OJ,2300
1229,2013-01-01,JFK,ANU,AA,897
1230,2013-04-01,JFK,LCY,BA,468
1231,2013-06-01,JFK,JED,SV,449
1232,2013-06-01,EWR,PLS,UA,1179
1233,2013-07-01,JFK,GCM,KX,788
1234,2013-10-01,JFK,LIM,LP,1340
1235,2013-09-01,JFK,JED,SV,449
1236,2013-11-01,EWR,KEF,FI,1446
1237,2013-04-01,JFK,JED,SV,449
1238,2013-06-01,EWR,YUL,S5,18521
1239,2013-03-01,JFK,LCY,BA,468
1240,2013-04-01,JFK,GEO,DL,538
1241,2013-01-01,EWR,TXL,UA,1097
1242,2013-06-01,JFK,LIR,B6,843
1243,2013-02-01,JFK,LCY,BA,468
1244,2013-03-01,EWR,STR,UA,534
1245,2013-05-01,JFK,GCM,KX,788
1246,2013-06-01,JFK,CDG,SE,7711
1247,2013-11-01,JFK,NCE,DL,500
1248,2013-04-01,EWR,MBJ,UA,3078
1249,2013-07-01,JFK,PSA,DL,101
1250,2013-03-01,JFK,SNN,BA,1749
1251,2013-11-01,EWR,OSL,SK,1453
1252,2013-03-01,JFK,LUX,CV,408
1253,2013-12-01,JFK,OSL,DY,1453
1254,2013-11-01,JFK,LIM,LP,1340
1255,2013-09-01,EWR,YUL,S5,18521
1256,2013-12-01,JFK,JED,SV,449
1257,2013-05-01,JFK,ANU,AA,897
1258,2013-04-01,JFK,SNN,BA,1749
1259,2013-08-01,JFK,ARN,DL,1536
1260,2013-11-01,JFK,DUB,AA,3258
1261,2013-02-01,EWR,ARN,UA,1536
1262,2013-09-01,JFK,MAD,UX,3671
1263,2013-03-01,EWR,OSL,SK,1453
1264,2013-03-01,JFK,WAW,LO,725
1265,2013-08-01,EWR,PLS,UA,1179
1266,2013-11-01,JFK,MDE,AV,485
1267,2013-12-01,JFK,TXL,AB,1097
1268,2013-09-01,JFK,CDG,SE,7711
1269,2013-01-01,EWR,BFS,UA,555
1270,2013-01-01,EWR,HAM,UA,580
1271,2013-06-01,JFK,GEO,BW,538
1272,2013-08-01,JFK,ANU,AA,897
1273,2013-02-01,EWR,BCN,UA,1904
1274,2013-03-01,JFK,GEO,DL,538
1275,2013-03-01,JFK,ANU,AA,897
1276,2013-05-01,JFK,JED,SV,449
1277,2013-03-01,JFK,DUS,AB,1465
1278,2013-01-01,JFK,MXP,AZ,2920
1279,2013-10-01,JFK,YUL,9E,18521
1280,2013-01-01,EWR,SJD,UA,403
1281,2013-08-01,JFK,GCM,KX,788
1282,2013-12-01,JFK,LIM,LP,1340
1283,2013-07-01,JFK,JED,SV,449
1284,2013-08-01,JFK,PSA,DL,101
1285,2013-02-01,JFK,BDA,B6,3146
1286,2013-05-01,JFK,AMM,RJ,467
1287,2013-03-01,JFK,GCM,KX,788
1288,2013-06-01,JFK,DUB,AA,3258
1289,2013-12-01,JFK,MAD,UX,3671
1290,2013-02-01,EWR,AMS,DL,3750
1291,2013-07-01,JFK,AGP,DL,110
1292,2013-09-01,JFK,AMM,RJ,467
1293,2013-02-01,JFK,SNN,BA,1749
1294,2013-02-01,JFK,ACC,DL,637
1295,2013-12-01,JFK,GEO,BW,538
1296,2013-01-01,JFK,VCE,DL,529
1297,2013-09-01,JFK,KIN,OJ,2300
1298,2013-01-01,EWR,PLS,UA,1179
1299,2013-02-01,JFK,BCN,DL,1904
1300,2013-02-01,JFK,CMN,AT,712
1301,2013-03-01,EWR,BCN,UA,1904
1302,2013-01-01,EWR,LIS,TP,1235
1303,2013-03-01,EWR,HAM,UA,580
1304,2013-02-01,JFK,CCS,AA,528
1305,2013-02-01,EWR,IST,UA,2630
1306,2013-02-01,JFK,MAD,DL,3671
1307,2013-12-01,EWR,MAD,UA,3671
1308,2013-02-01,EWR,LIS,UA,1235
1309,2013-11-01,EWR,MBJ,UA,3078
1310,2013-10-01,JFK,JED,SV,449
1311,2013-12-01,JFK,CTG,B6,321
1312,2013-08-01,EWR,MBJ,UA,3078
1313,2013-09-01,JFK,SXM,B6,1681
1314,2013-03-01,EWR,PLS,UA,1179
1315,2013-12-01,EWR,BFS,UA,555
1316,2013-02-01,EWR,MXP,UA,2920
1317,2013-11-01,EWR,SXM,UA,1681
1318,2013-02-01,EWR,PAP,UA,1661
1319,2013-02-01,EWR,ARN,SK,1536
1320,2013-03-01,EWR,TXL,UA,1097
1321,2013-01-01,JFK,MDE,AV,485
1322,2013-04-01,EWR,YYT,UA,700
1323,2013-10-01,EWR,IST,UA,2630
1324,2013-10-01,EWR,YUL,S5,18521
1325,2013-10-01,JFK,PLS,B6,1179
1326,2013-03-01,EWR,BFS,UA,555
1327,2013-10-01,JFK,SXM,B6,1681
1328,2013-01-01,JFK,BDA,B6,3146
1329,2013-12-01,JFK,WAW,LO,725
1330,2013-04-01,EWR,BFS,UA,555
1331,2013-02-01,JFK,UVF,B6,635
1332,2013-12-01,EWR,ARN,SK,1536
1333,2013-03-01,EWR,YYZ,QK,34610
1334,2013-01-01,EWR,MAD,UA,3671
1335,2013-02-01,JFK,JED,SV,449
1336,2013-02-01,JFK,TPE,BR,522
1337,2013-01-01,JFK,GEO,DL,538
1338,2013-11-01,EWR,TXL,UA,1097
1339,2013-02-01,EWR,YYT,S5,700
1340,2013-01-01,JFK,CCS,AA,528
1341,2013-06-01,JFK,KEF,DL,1446
1342,2013-12-01,EWR,LIS,UA,1235
1343,2013-07-01,EWR,MBJ,UA,3078
1344,2013-11-01,EWR,MUC,UA,2057
1345,2013-11-01,EWR,HAM,UA,580
1346,2013-10-01,JFK,UVF,B6,635
1347,2013-09-01,JFK,TPE,BR,522
1348,2013-07-01,JFK,GEO,BW,538
1349,2013-11-01,EWR,BFS,UA,555
1350,2013-03-01,JFK,TPE,BR,522
1351,2013-09-01,JFK,LCY,BA,468
1352,2013-07-01,JFK,LIR,B6,843
1353,2013-10-01,JFK,CCS,AA,528
1354,2013-09-01,JFK,BGI,AA,1299
1355,2013-01-01,EWR,IST,UA,2630
1356,2013-11-01,EWR,ARN,UA,1536
1357,2013-11-01,JFK,WAW,LO,725
1358,2013-04-01,EWR,YYZ,RS,34610
1359,2013-11-01,JFK,BCN,DL,1904
1360,2013-11-01,JFK,UVF,B6,635
1361,2013-02-01,JFK,BCN,AA,1904
1362,2013-06-01,JFK,TPE,BR,522
1363,2013-04-01,LGA,YYZ,QK,34610
1364,2013-07-01,EWR,POS,UA,2322
1365,2013-11-01,EWR,BCN,UA,1904
1366,2013-11-01,JFK,TPE,BR,522
1367,2013-04-01,EWR,IST,UA,2630
1368,2013-01-01,JFK,LCY,BA,468
1369,2013-10-01,JFK,BGI,B6,1299
1370,2013-06-01,JFK,YVR,DL,1785
1371,2013-04-01,EWR,LIS,TP,1235
1372,2013-07-01,JFK,ARN,DL,1536
1373,2013-01-01,JFK,MAD,DL,3671
1374,2013-07-01,JFK,AMM,RJ,467
1375,2013-01-01,EWR,MXP,UA,2920
1376,2013-11-01,EWR,ARN,SK,1536
1377,2013-12-01,JFK,ACC,DL,637
1378,2013-04-01,JFK,TPE,BR,522
1379,2013-12-01,JFK,MAD,DL,3671
1380,2013-07-01,JFK,CCS,AA,528
1381,2013-11-01,JFK,LCY,BA,468
1382,2013-05-01,JFK,CCS,AA,528
1383,2013-04-01,JFK,CCS,AA,528
1384,2013-03-01,EWR,IST,UA,2630
1385,2013-10-01,EWR,BFS,UA,555
1386,2013-01-01,JFK,ACC,DL,637
1387,2013-05-01,JFK,SNN,DL,1749
1388,2013-03-01,JFK,JED,SV,449
1389,2013-02-01,EWR,SJD,UA,403
1390,2013-03-01,EWR,ARN,SK,1536
1391,2013-11-01,EWR,GVA,UA,1381
1392,2013-11-01,JFK,MAD,DL,3671
1393,2013-03-01,EWR,LIS,TP,1235
1394,2013-03-01,EWR,MAD,UA,3671
1395,2013-11-01,EWR,LIS,TP,1235
1396,2013-08-01,JFK,TPE,BR,522
1397,2013-09-01,JFK,CCS,AA,528
1398,2013-12-01,EWR,AMS,DL,3750
1399,2013-02-01,EWR,GVA,UA,1381
1400,2013-03-01,EWR,MXP,UA,2920
1401,2013-11-01,JFK,ACC,DL,637
1402,2013-06-01,JFK,LCY,BA,468
1403,2013-05-01,EWR,LIS,TP,1235
1404,2013-04-01,JFK,WAW,LO,725
1405,2013-01-01,EWR,LIS,UA,1235
1406,2013-06-01,JFK,AMM,RJ,467
1407,2013-06-01,JFK,MDE,AV,485
1408,2013-11-01,JFK,CCS,AA,528
1409,2013-06-01,JFK,SNN,BA,1749
1410,2013-01-01,JFK,UVF,B6,635
1411,2013-12-01,EWR,CDG,DL,7711
1412,2013-05-01,EWR,POP,UA,1262
1413,2013-03-01,JFK,LIR,B6,843
1414,2013-10-01,JFK,BGI,AA,1299
1415,2013-03-01,JFK,VCE,DL,529
1416,2013-06-01,JFK,CCS,AA,528
1417,2013-12-01,JFK,TPE,BR,522
1418,2013-01-01,LGA,YYZ,QK,34610
1419,2013-01-01,JFK,BCN,DL,1904
1420,2013-03-01,JFK,MAD,DL,3671
1421,2013-11-01,EWR,CDG,DL,7711
1422,2013-02-01,LGA,YYZ,QK,34610
1423,2013-03-01,EWR,ARN,UA,1536
1424,2013-03-01,EWR,AMS,DL,3750
1425,2013-08-01,JFK,AGP,DL,110
1426,2013-11-01,EWR,AMS,DL,3750
1427,2013-09-01,EWR,TLV,LY,4143
1428,2013-01-01,JFK,BCN,AA,1904
1429,2013-05-01,JFK,TPE,BR,522
1430,2013-01-01,JFK,SNN,BA,1749
1431,2013-02-01,EWR,TLV,LY,4143
1432,2013-08-01,JFK,CCS,AA,528
1433,2013-04-01,EWR,FCO,UA,2982
1434,2013-09-01,JFK,SNN,BA,1749
1435,2013-11-01,JFK,SNN,BA,1749
1436,2013-08-01,JFK,GEO,BW,538
1437,2013-01-01,EWR,ARN,SK,1536
1438,2013-12-01,JFK,CCS,AA,528
1439,2013-01-01,EWR,ARN,UA,1536
1440,2013-02-01,EWR,MUC,UA,2057
1441,2013-02-01,EWR,NAS,UA,3196
1442,2013-07-01,JFK,TPE,BR,522
1443,2013-08-01,JFK,AMM,RJ,467
1444,2013-05-01,JFK,SNN,BA,1749
1445,2013-12-01,JFK,MUC,LH,2057
1446,2013-02-01,JFK,GIG,JJ,1385
1447,2013-03-01,JFK,BGI,B6,1299
