name,airline_id,origin_country,active
Catovair,OC,Mauritius,Y
Halcyonair,7Z,Cape Verde,Y
Business Aviation,4P,Congo (Kinshasa),Y
AlMasria Universal Airlines,UJ,Egypt,Y
SmartLynx Airlines,6Y,Latvia,Y
KoralBlue Airlines,K7,Egypt,Y
Med Airways,7Y,Lebanon,Y
Royal Falcon,RL,Jordan,Y
Euroline,4L,Georgia,Y
Athens Airways,ZF,Greece,Y
Viking Hellas,VQ,Greece,Y
Starline.kz,DZ,Kazakhstan,Y
Chongqing Airlines,OQ,China,Y
West Air China,PN,China,Y
NordStar Airlines,Y7,Russia,Y
MDLR Airlines,9H,India,Y
Maldivian,Q2,Maldives,Y
Xpressair,XN,Indonesia,Y
SGA Airlines,5E,Thailand,Y
Air2there,F8,New Zealand,Y
Court Line,??,United Kingdom,N
Lombards Air,++,South Africa,N
U.S. Air,-+,United States,Y
Jayrow,\\',Australia,Y
Llloyd Helicopters,::,Australia,N
Wilderness Air,;;,Australia,Y
Whitaker Air,^^,Australia,Y
PanAm World Airways,WQ,United States,Y
Virginwings,YY,Germany,Y
Wizz Air Ukraine,WU,Ukraine,Y
88,47,Cyprus,Y
THREE,H3,China,N
Royal European Airlines,69,United Kingdom,Y
Tom\\'s & co airliners,&T,France,Y
Nik Airways,X1,Saudi Arabia,N
Congo Express,XZ,Congo (Kinshasa),Y
Fly Dubai,FZ,United Arab Emirates,Y
Domenican Airlines,D1,Dominican Republic,Y
Air Atlantic,9A,Canada,N
LSM AIRLINES ,YZ,Russia,Y
Aero Lloyd (YP),YP,Germany,N
UTair-Express,UR,Russia,Y
Huaxia,G5,China,Y
N1,N1,Peru,Y
Airlink (SAA),4Z,South Africa,Y
JobAir,3B,Czech Republic,Y
Zuliana de Aviacion,OD,Venezuela,N
China SSS,9C,China,Y
Nihon.jet,NJ,Japan,N
Transportes Aéreos Nacionales de Selva,TJ,Peru,N
ZABAIKAL AIRLINES,Z6,Russia,Y
Yellowstone Club Private Shuttle,Y1,United States,Y
Caucasus Airlines,NS,Georgia,Y
Serbian Airlines,S1,Serbia,Y
Windward Islands Airways,WM,Netherlands Antilles,Y
TransHolding System,YO,Brazil,Y
Fly Brasil,F1,Brazil,Y
Fly Colombia ( Interliging Flights ),3F,Colombia,Y
KMV,МИ,Russia,Y
Norte Lineas Aereas,N0,Argentina,Y
Austral Brasil,W7,Brazil,Y
TUR Avrupa Hava YollarÄ±,YI,Turkey,N
Luchsh Airlines ,L4,Russia,Y
Mongolian International Air Lines ,7M,Mongolia,Y
Papillon Grand Canyon Helicopters,HI,United States,Y
NEXT Brasil,XB,Brazil,Y
Cook Island Air,KH,Cook Islands,N
Usa Sky Cargo,E1,United States,Y
Red Jet Mexico,4X,Mexico,Y
Era Alaska,7H,United States,Y
Hankook Air US,H1,United States,Y
Canadian World,10,Canada,N
BVI Airways,XV,British Virgin Islands,Y
Zambezi Airlines (ZMA),ZJ,Zambia,Y
Polet Airlines (Priv),YQ,Russia,Y
TROPICAL LINHAS AEREAS,T1,Brazil,N
12 North,12,India,Y
Mauritania Airlines International,L6,Mauritania,Y
MAT Airways,6F,Macedonia,Y
Orchid Airlines,OI,Australia,Y
Skywest Australia,XR,Australia,Y
Nile Air,NP,Egypt,Y
Copenhagen Express,0X,Denmark,Y
SENIC AIRLINES,YR,United States,Y
Air Indus,PP,Pakistan,Y
Samurai Airlines,7,Pakistan,N
AirOne Continental,0,Slovakia,N
AirOne Polska,U1,Poland,N
Peach Aviation,MM,Japan,Y
Michael Airlines,DF,Puerto Rico,Y
Korongo Airlines,ZC,Congo (Kinshasa),Y
Indonesia Sky,I5,Indonesia,Y
Pelangi ,9P,Malaysia,N
Aws express,B0,United States,Y
Southjet,76,United States,Y
Southjet connect,77,United States,Y
Southjet cargo,78,United States,Y
Iberia Express,I2,Spain,Y
Interjet (ABC Aerolineas),4O,Mexico,Y
Scoot,TZ,Singapore,Y
Zenith International Airline,ZN,Thailand,Y
Orbit Airlines Azerbaijan,O1,Azerbaijan,Y
Patriot Airways,P4,United States,Y
BQB Lineas Aereas,5Q,Uruguay,Y
Yellowtail,YE,United States,Y
