airline_id,dep_airport,des_airport,dep_name,dep_city,dep_country,dep_lat,dep_lng,total,des_name,des_city,des_country,airport_id,des_lat,des_lng,alt
FX,EWR,FRA,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,5406,Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556,364
LH,EWR,DUB,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,3258,Dublin Airport,Dublin,Ireland,DUB,53.421299,-6.27007,242
UA,EWR,YYR,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,53,Goose Bay Airport,Goose Bay,Canada,YYR,53.31919861,-60.42580032,160
AA,JFK,YHZ,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3458,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.88079834,-63.50859833,477
UA,EWR,YQX,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,55,Gander International Airport,Gander,Canada,YQX,48.93690109,-54.56809998,496
DL,JFK,CCS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,528,Simón Bolívar International Airport,Caracas,Venezuela,CCS,10.601194,-66.991222,234
UA,EWR,AMD,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,AMD,23.07719994,72.63469696,189
AA,JFK,YQM,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,715,Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169,-64.6785965,232
SV,JFK,BRU,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3031,Brussels Airport,Brussels,Belgium,BRU,50.90140152,4.48443985,184
LH,JFK,MEX,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,5929,Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,19.4363,-99.072098,7316
CV,JFK,MXP,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2920,Malpensa International Airport,Milano,Italy,MXP,45.6306,8.72811,768
UA,EWR,GIG,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1385,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,GIG,-22.80999947,-43.25055695,28
5X,EWR,EMA,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,9,East Midlands Airport,East Midlands,United Kingdom,EMA,52.83110046,-1.328060031,306
DL,JFK,DXB,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1918,Dubai International Airport,Dubai,United Arab Emirates,DXB,25.25279999,55.36439896,62
QF,JFK,MVD,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2,Carrasco International /General C L Berisso Airport,Montevideo,Uruguay,MVD,-34.838402,-56.0308,105
AA,JFK,SJO,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1798,Juan Santamaria International Airport,San Jose,Costa Rica,SJO,9.993860245,-84.20880127,3021
DL,JFK,CTS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,New Chitose Airport,Sapporo,Japan,CTS,42.77519989,141.6920013,82
DL,JFK,LOS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,318,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.577370167,3.321160078,135
UA,JFK,AUA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3087,Queen Beatrix International Airport,Oranjestad,Aruba,AUA,12.5014,-70.015198,60
UX,JFK,PUJ,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3067,Punta Cana International Airport,Punta Cana,Dominican Republic,PUJ,18.56739998,-68.36340332,47
